"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","951","Labels and placeholders are correct","ui-chromium","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","7259","Mark test case as Automated","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","18158","Add multiple test steps","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2534","Multiple test steps preserved in order","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1402","Back arrow returns to test case list","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1440","Submit with empty Title shows error","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1972","Page loads over HTTPS","ui-firefox","2026-06-09","passed","2026-06-09","Login - Security","ui/login/security.spec.ts","",""
"","1850","Multiple test steps preserved in order","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","21641","Create test case with required fields","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2659","Remember me persists session","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1724","Remember me toggle is visible and interactive","ui-firefox","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","1768","Add multiple test steps","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1204","Empty fields do not trigger backend call","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1825","Fields have correct placeholders","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","1989","Automated toggle defaults to off","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
